company,company_stage,country,days_since_layoff,Sum of funds_raised_million,Sum of id,industry,Sum of laid_off,Year,Quarter,Month,Day,Sum of layoff_day,Sum of layoff_month,layoff_percentage,Sum of layoff_quarter,layoff_severity,Sum of layoff_year,location_city,location_region,news_source_url,Year,Quarter,Month,Day
#Paid,Series B,Canada,891,21,1950,Marketing,19,2023,Qtr 1,January,27,27,1,17%,1,Normal,2023,Toronto,Non-U.S.,https://betakit.com/as-big-tech-makes-mass-layoffs-recent-canadian-startup-reductions-might-cut-deeper/,2023,Qtr 1,January,29
&Open,Series A,Ireland,962,35,2410,Marketing,9,2022,Qtr 4,November,17,17,11,9%,4,Normal,2022,Dublin,Non-U.S.,https://www.irishtimes.com/technology/2022/11/17/gifting-platform-open-to-cut-nine-roles-from-global-workforce/,2022,Qtr 4,December,1
10X Genomics,Post-IPO,United States,1067,242,2879,Healthcare,100,2022,Qtr 3,August,4,4,8,8%,3,Normal,2022,SF Bay Area,,https://www.genomeweb.com/business-news/10x-genomics-lays-approximately-100-employees#.YuxWk-zMKqV,2022,Qtr 3,August,5
1stdibs,Series D,United States,1921,253,3935,Retail,70,2020,Qtr 2,April,2,2,4,17%,2,Normal,2020,New York City,,https://twitter.com/eringriffith/status/1246147841350762497,2020,Qtr 2,April,8
23andMe,Post-IPO,United States,237,1100,220,Healthcare,200,2024,Qtr 4,November,11,11,11,40%,4,Normal,2024,SF Bay Area,,https://www.wsj.com/tech/biotech/23andme-to-cut-workforce-by-40-discontinues-therapeutics-pipeline-8c818729,2024,Qtr 4,November,12
23andMe,Post-IPO,United States,698,1100,1152,Healthcare,71,2023,Qtr 3,August,8,8,8,11%,3,Normal,2023,SF Bay Area,,https://www.streetinsider.com/Corporate+News/23andMe+Holding+%28ME%29+Announces+11%25+Workforce+Cut/22014370.html,2023,Qtr 3,August,9
23andMe,Post-IPO,United States,758,1100,1368,Healthcare,75,2023,Qtr 2,June,9,9,6,9%,2,Normal,2023,SF Bay Area,,https://www.genomeweb.com/business-news/23andme-laying-9-percent-workforce-cut-operating-costs,2023,Qtr 2,June,10
2TM,Unknown,Brazil,1039,250,2755,Crypto,100,2022,Qtr 3,September,1,1,9,15%,3,Normal,2022,Sao Paulo,Non-U.S.,https://finance.yahoo.com/news/second-round-layoffs-brazilian-crypto-212310521.html,2022,Qtr 3,September,3
2TM,Unknown,Brazil,1131,250,3267,Crypto,90,2022,Qtr 2,June,1,1,6,12%,2,Normal,2022,Sao Paulo,Non-U.S.,"https://www.terra.com.br/noticias/tecnologia/2tm-dono-do-mercado-bitcoin-demite-90-funcionarios,9ce67613ba7b79292f03bc2027ceb77e9uw5hy0w.html",2022,Qtr 2,June,2
54gene,Series B,United States,1042,44,2776,Healthcare,95,2022,Qtr 3,August,29,29,8,30%,3,Normal,2022,Washington D.C.,,https://techcrunch.com/2022/08/29/african-genomics-startup-54gene-lays-off-95-as-covid-testing-business-struggles/,2022,Qtr 3,August,31
6sense,Series E,United States,998,426,2626,Sales,150,2022,Qtr 4,October,12,12,10,10%,4,Normal,2022,SF Bay Area,,https://www.moneycontrol.com/news/business/startup/ai-platform-6sense-lays-off-150-employees-globally-including-several-from-india-9327791.html,2022,Qtr 4,October,14
7Shifts,Series C,Canada,542,131,753,Food,68,2024,Qtr 1,January,11,11,1,19%,1,Normal,2024,Saskatoon,Non-U.S.,https://betakit.com/7shifts-cuts-19-percent-of-staff-in-new-layoffs-to-start-2024/,2024,Qtr 1,January,18
7Shifts,Series C,Canada,660,131,1043,Food,30,2023,Qtr 3,September,15,15,9,7%,3,Normal,2023,Saskatoon,Non-U.S.,https://www.linkedin.com/feed/update/urn:li:activity:7108084382132801536/,2023,Qtr 3,September,21
8x8,Post-IPO,United States,1006,253,2658,Support,200,2022,Qtr 4,October,4,4,10,9%,4,Normal,2022,SF Bay Area,,https://www.channelfutures.com/business-models/8x8-lays-off-workers-cites-operational-efficiency,2023,Qtr 1,January,19
8x8,Post-IPO,United States,900,253,2035,Support,155,2023,Qtr 1,January,18,18,1,7%,1,Normal,2023,SF Bay Area,,https://www.channelfutures.com/business-models/8x8-to-reduce-7-of-workforce-significantly-impacting-channel-staff,2023,Qtr 1,January,19
99,Acquired,Brazil,1020,244,2693,Transportation,75,2022,Qtr 3,September,20,20,9,2%,3,Normal,2022,Sao Paulo,Non-U.S.,"https://www.terra.com.br/economia/dinheiro-em-dia/meu-negocio/na-onda-dos-layoffs-99-demite-mais-de-75-colaboradores,d2c6d7e70027cb925695c2e6a25956d16jo4jtuj.html",2022,Qtr 3,September,21
Abra,Series C,United States,1102,106,3086,Crypto,12,2022,Qtr 2,June,30,30,6,5%,2,Normal,2022,SF Bay Area,,https://www.theblock.co/post/155209/abra-becomes-latest-crypto-firm-to-cut-jobs,2022,Qtr 3,July,1
Absci,Post-IPO,United States,670,238,1073,Healthcare,30,2023,Qtr 3,September,5,5,9,15%,3,Normal,2023,Portland,,https://www.geekwire.com/2023/biotech-company-absci-lays-off-30-employees-about-15-of-staff/,2023,Qtr 3,September,7
Acast,Post-IPO,Sweden,1025,126,2703,Media,70,2022,Qtr 3,September,15,15,9,15%,3,Normal,2022,Stockholm,Non-U.S.,https://www.bloomberg.com/news/newsletters/2022-09-15/swedish-podcast-company-acast-lays-off-15-of-its-staff,2022,Qtr 3,September,16
Acko,Unknown,India,1922,143,3962,Finance,45,2020,Qtr 2,April,1,1,4,9%,2,Normal,2020,Mumbai,Non-U.S.,https://entrackr.com/2020/04/exclusive-acko-insurance-layoff/,2020,Qtr 2,April,8
ActiveFence,Series B,United States,115,100,80,Security,22,2025,Qtr 1,March,13,13,3,7%,1,Normal,2025,New York City,,https://www.calcalistech.com/ctechnews/article/hjvqbqg3jx,2025,Qtr 1,March,15
Ada,Series C,Canada,1020,190,2692,Support,78,2022,Qtr 3,September,20,20,9,16%,3,Normal,2022,Toronto,Non-U.S.,https://www.linkedin.com/posts/mikemurchison_company-message-from-mike-ugcPost-6978042513135710209-CcNB/,2022,Qtr 3,September,21
Ada Support,Series B,Canada,1899,60,3735,Support,36,2020,Qtr 2,April,24,24,4,23%,2,Normal,2020,Toronto,Non-U.S.,https://betakit.com/ada-support-lays-off-23-percent-of-staff-amid-uncertainty-caused-by-pandemic/,2020,Qtr 2,April,25
Adaptive Biotechnologies,Post-IPO,United States,1216,406,3397,Healthcare,100,2022,Qtr 1,March,8,8,3,12%,1,Normal,2022,Seattle,,https://www.geekwire.com/2022/adaptive-biotechnologies-lays-off-about-100-people-12-of-headcount-to-streamline-our-workforce/,2022,Qtr 2,May,29
Addepar,Series F,United States,900,491,2044,Finance,20,2023,Qtr 1,January,18,18,1,3%,1,Normal,2023,SF Bay Area,,https://fortune.com/2023/01/17/addepar-a-wealth-management-startup-launched-by-the-co-founder-of-palantir-is-the-latest-fintech-to-cut-jobs/,2023,Qtr 1,January,18
AdRoll,Series C,United States,1923,89,3977,Marketing,210,2020,Qtr 1,March,31,31,3,30%,1,Normal,2020,Salt Lake City,,https://www.adexchanger.com/online-advertising/nextroll-lays-off-30-institutes-20-paycuts/,2020,Qtr 2,April,1
AEye,Post-IPO,United States,831,314,1628,Transportation,46,2023,Qtr 1,March,28,28,3,33%,1,Normal,2023,SF Bay Area,,https://investors.aeye.ai/node/8921/html,2023,Qtr 1,March,30
Affirm,Post-IPO,United States,879,1500,1843,Finance,500,2023,Qtr 1,February,8,8,2,19%,1,Normal,2023,SF Bay Area,,https://www.wsj.com/articles/affirm-cuts-500-employees-19-of-its-workforce-11675897002,2023,Qtr 1,February,9
AgentSync,Series B,United States,718,111,1223,Finance,67,2023,Qtr 3,July,19,19,7,24%,3,Normal,2023,Denver,,Internal memo,2023,Qtr 3,July,26
Ahead,Unknown,United States,1179,9,3372,Healthcare,44,2022,Qtr 2,April,14,14,4,100%,2,Normal,2022,SF Bay Area,,https://www.bloomberg.com/news/articles/2022-04-14/online-adhd-medication-startup-ahead-is-shutting-down?sref=yLCixKPR,2022,Qtr 2,April,16
Airbnb,Private Equity,United States,1888,5400,3677,Travel,1900,2020,Qtr 2,May,5,5,5,25%,2,Major,2020,SF Bay Area,,https://layoffs.fyi/2020/05/07/airbnb-laid-off-1900-employees/,2020,Qtr 2,May,6
Airmeet,Series B,India,773,50,1422,Marketing,75,2023,Qtr 2,May,25,25,5,30%,2,Normal,2023,Bengaluru,Non-U.S.,https://inc42.com/buzz/exclusive-prosus-backed-airmeet-lays-off-30-of-its-workforce/,2023,Qtr 2,May,26
Airtable,Series F,United States,661,1400,1045,Product,237,2023,Qtr 3,September,14,14,9,27%,3,Normal,2023,SF Bay Area,,https://www.forbes.com/sites/stevenbertoni/2023/09/14/unicorn-startup-airtable-lays-off-27-of-firm-shifts-focus-to-big-clients/?sh=171151534589,2023,Qtr 3,September,14
Airtable,Series F,United States,941,1400,2254,Product,254,2022,Qtr 4,December,8,8,12,20%,4,Normal,2022,SF Bay Area,,https://techcrunch.com/2022/12/08/airtable-layoffs/,2022,Qtr 4,December,8
Airtasker,Series C,Australia,801,26,1519,Retail,45,2023,Qtr 2,April,27,27,4,20%,2,Normal,2023,Sydney,Non-U.S.,https://www.businessnewsaustralia.com/articles/airtasker-makes-20pc-of-employees-redundant.html,2023,Qtr 2,April,28
Airtime,Series B,United States,1140,33,3312,Consumer,30,2022,Qtr 2,May,23,23,5,20%,2,Normal,2022,New York City,,Internal memo,2022,Qtr 3,August,18
Airtime,Series B,United States,32,33,16,Consumer,25,2025,Qtr 2,June,4,4,6,43%,2,Normal,2025,New York City,,https://techcrunch.com/2025/06/04/its-layoff-season-at-phil-libins-airtime/,2025,Qtr 2,June,5
Ajaib,Unknown,Indonesia,951,245,2357,Finance,67,2022,Qtr 4,November,28,28,11,8%,4,Normal,2022,Jakarta,Non-U.S.,https://www.techinasia.com/indonesian-investment-platform-ajaib-lays-8-headcount,2022,Qtr 4,November,30
Akamai,Post-IPO,United States,241,35,229,Security,250,2024,Qtr 4,November,7,7,11,2%,4,Normal,2024,Boston,,https://www.bizjournals.com/boston/news/2024/11/07/akamai-layoffs-2024.html,2024,Qtr 4,November,8
Akamai,Post-IPO,United States,789,35,1470,Security,290,2023,Qtr 2,May,9,9,5,3%,2,Normal,2023,Boston,,https://www.bizjournals.com/boston/news/2023/05/09/akamai-cuts-global-workforce-2023.html,2023,Qtr 2,May,10
Akili Labs,Post-IPO,United States,906,301,2103,Healthcare,46,2023,Qtr 1,January,12,12,1,30%,1,Normal,2023,Boston,,https://bhbusiness.com/2023/01/12/digital-therapeutics-startup-akili-plans-to-lay-off-30-of-staff/,2023,Qtr 1,January,14
AlayaCare,Series D,Canada,1055,293,2818,Healthcare,80,2022,Qtr 3,August,16,16,8,14%,3,Normal,2022,Montreal,,https://betakit.com/alayacare-lays-off-14-percent-of-employees-slows-ma-plans/,2022,Qtr 3,August,17
Albert,Series C,United States,1122,175,3208,Finance,20,2022,Qtr 2,June,10,10,6,8%,2,Normal,2022,Los Angeles,,https://dot.la/albert-fintech-layoffs-2657493613.html50,2022,Qtr 2,June,11
Aleph Farms,Unknown,Israel,396,119,447,Food,30,2024,Qtr 2,June,5,5,6,30%,2,Normal,2024,Tel Aviv,Non-U.S.,https://www.calcalistech.com/ctechnews/article/hkdwxv0na,2024,Qtr 2,June,6
Alice,Series C,Brazil,940,174,2246,Healthcare,113,2022,Qtr 4,December,9,9,12,16%,4,Normal,2022,Sao Paulo,Non-U.S.,https://startups.com.br/demissoes/alice-faz-nova-onda-de-demissoes-e-dispensa-113-pessoas/,2022,Qtr 4,December,11
AliExpress Russia,Acquired,Russia,1149,60,3325,Retail,400,2022,Qtr 2,May,14,14,5,40%,2,Normal,2022,Moscow,Non-U.S.,https://asia.nikkei.com/Politics/Ukraine-war/Alibaba-s-Russian-venture-slashes-40-of-staff-amid-Ukraine-war,2022,Qtr 2,May,14
AlphaSense,Series F,United States,221,1400,201,Other,150,2024,Qtr 4,November,27,27,11,8%,4,Normal,2024,New York City,,https://news.bloomberglaw.com/daily-labor-report/market-research-firm-alphasense-cut-150-jobs-in-restructuring,2024,Qtr 4,November,29
Alteryx,Post-IPO,United States,801,613,1513,Data,320,2023,Qtr 2,April,27,27,4,11%,2,Normal,2023,Los Angeles,,https://siliconangle.com/2023/04/27/alteryx-delivers-mixed-earnings-results-plans-cut-11-staff/,2023,Qtr 2,April,28
Alto Pharmacy,Series D,United States,1741,356,3486,Healthcare,47,2020,Qtr 3,September,29,29,9,6%,3,Normal,2020,SF Bay Area,,https://layoffs.fyi/2020/10/07/alto-pharmacy-lays-off-47-employees/,2020,Qtr 4,October,8
Altruist,Series E,United States,180,449,164,Finance,37,2025,Qtr 1,January,7,7,1,10%,1,Normal,2025,SF Bay Area,,https://riabiz.com/a/2025/1/7/altruist-lays-off-10-of-its-staff-despite-300-revenue-jump-to-get-best-possible-people-as-aggressive-hiring-continues-says-ceo,2025,Qtr 1,January,8
Amazon,Post-IPO,United States,914,108,2173,Retail,8000,2023,Qtr 1,January,4,4,1,2%,1,Major,2023,Seattle,,https://www.wsj.com/articles/amazon-to-lay-off-over-17-000-workers-more-than-first-planned-11672874304,2023,Qtr 1,January,5
Amazon,Post-IPO,United States,963,108,2414,Retail,10000,2022,Qtr 4,November,16,16,11,3%,4,Major,2022,Seattle,,https://www.nytimes.com/2022/11/14/technology/amazon-layoffs.html,2022,Qtr 4,November,16
